날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.10,30250,0,30100,30250,30100,376,금호건설우
2022.03.23,11550,0,11700,11800,11500,120998,금호건설
2022.03.22,11550,-200,11700,11700,11450,160921,금호건설
2022.03.21,11750,350,11700,11800,11600,206020,금호건설
2022.03.18,11400,0,11650,11750,11400,130269,금호건설
2022.03.17,11400,-250,11750,11750,11300,208088,금호건설
2022.03.16,11650,350,11450,11850,11100,213430,금호건설
2022.03.15,11300,0,11450,11450,11050,125190,금호건설
2022.03.14,11300,50,11350,11900,11200,261174,금호건설
2022.03.11,11250,300,11000,11300,10950,128690,금호건설
2022.03.10,10950,0,10950,11000,10700,125229,금호건설
2022.03.23,91000,1600,89400,91000,89400,13033,금호석유우
2022.03.22,89400,900,88900,90300,88700,17775,금호석유우
2022.03.21,88500,2200,86400,89200,86400,23475,금호석유우
2022.03.18,86300,-200,86600,87000,86100,18124,금호석유우
2022.03.17,86500,1000,86500,86900,86100,13712,금호석유우
2022.03.16,85500,1400,84300,86000,84200,15477,금호석유우
2022.03.15,84100,-700,84500,85000,84000,9014,금호석유우
2022.03.14,84800,700,83500,86200,83500,16040,금호석유우
2022.03.11,84100,300,84100,84400,83400,11143,금호석유우
2022.03.10,83800,0,83800,85100,83500,20645,금호석유우
2022.03.23,162500,1000,162000,163000,160500,90197,금호석유
2022.03.22,161500,2000,159500,162000,158500,90143,금호석유
2022.03.21,159500,0,160000,163000,158500,123631,금호석유
2022.03.18,159500,2000,158500,159500,156000,130774,금호석유
2022.03.17,157500,500,159000,160500,156500,129147,금호석유
2022.03.16,157000,7000,152000,157000,151000,112599,금호석유
2022.03.15,150000,-1500,151500,153000,148000,84491,금호석유
2022.03.14,151500,1000,150500,155000,150000,89007,금호석유
2022.03.11,150500,-1000,150500,151000,148000,86397,금호석유
2022.03.10,151500,0,155000,155000,149000,121974,금호석유
2022.03.23,11400,-150,11700,11700,11350,244953,나무가
2022.03.22,11550,50,11500,11700,11400,165286,나무가
2022.03.21,11500,-250,11750,11800,11450,268966,나무가
2022.03.18,11750,600,11150,12200,11050,1687279,나무가
2022.03.17,11150,550,11000,11200,10850,277115,나무가
2022.03.16,10600,400,10350,10700,10350,141504,나무가
2022.03.15,10200,-200,10350,10500,10200,119612,나무가
2022.03.14,10400,-400,10750,10800,10300,177942,나무가
2022.03.11,10800,200,10600,11150,10550,184581,나무가
2022.03.10,10600,0,10850,10850,10550,123381,나무가
2022.03.23,9680,10,9670,9710,9660,4756,나이스디앤비
2022.03.22,9670,50,9660,9680,9620,6183,나이스디앤비
2022.03.21,9620,10,9620,9630,9520,6355,나이스디앤비
2022.03.18,9610,40,9570,9610,9550,2592,나이스디앤비
2022.03.17,9570,-50,9720,9720,9460,6904,나이스디앤비
2022.03.16,9620,-60,9720,9720,9570,2604,나이스디앤비
2022.03.15,9680,10,9670,9710,9640,4497,나이스디앤비
2022.03.14,9670,40,9630,9690,9610,5848,나이스디앤비
2022.03.11,9630,10,9620,9640,9570,1690,나이스디앤비
2022.03.10,9620,0,9650,9650,9570,2340,나이스디앤비
2022.03.23,53500,0,54000,55300,52900,164355,네오위즈홀딩스
2022.03.22,53500,2300,51700,55300,51300,262727,네오위즈홀딩스
2022.03.21,51200,-900,52600,52600,50300,91717,네오위즈홀딩스
2022.03.18,52100,-200,53000,53100,51200,85607,네오위즈홀딩스
2022.03.17,52300,1900,51700,53500,51400,215267,네오위즈홀딩스
2022.03.16,50400,1050,50200,51200,49750,132546,네오위즈홀딩스
2022.03.15,49350,-650,50600,51500,48950,142476,네오위즈홀딩스
2022.03.14,50000,-5700,54300,54300,49850,345240,네오위즈홀딩스
2022.03.11,55700,3500,52500,57500,51500,588623,네오위즈홀딩스
2022.03.10,52200,0,53300,54200,52000,184420,네오위즈홀딩스
2022.03.23,23400,750,22800,23800,22500,2649085,넥슨지티
2022.03.22,22650,-350,23050,23100,22400,923755,넥슨지티
2022.03.21,23000,300,22850,23450,22550,1671091,넥슨지티
2022.03.18,22700,700,22650,23000,22050,1916444,넥슨지티
2022.03.17,22000,400,21950,22500,21650,1433268,넥슨지티
2022.03.16,21600,-1400,23500,23700,21200,2761706,넥슨지티
2022.03.15,23000,50,23050,24100,22650,3507854,넥슨지티
2022.03.14,22950,100,23250,23500,22500,2534075,넥슨지티
2022.03.11,22850,-50,22700,23150,22350,2086278,넥슨지티
2022.03.10,22900,0,22350,23000,21400,3275859,넥슨지티
2022.03.23,41100,-150,41600,41600,40800,17956,노바렉스
2022.03.22,41250,250,41000,41550,40800,11114,노바렉스
2022.03.21,41000,-850,43950,43950,40850,71026,노바렉스
2022.03.18,41850,100,41750,42000,41350,10514,노바렉스
2022.03.17,41750,700,41450,42050,40500,27449,노바렉스
2022.03.16,41050,-400,41250,41750,40300,21633,노바렉스
2022.03.15,41450,-650,42100,42200,41000,19010,노바렉스
2022.03.14,42100,-600,42700,42700,41750,16812,노바렉스
2022.03.11,42700,300,42400,43000,41650,28238,노바렉스
2022.03.10,42400,0,42300,42550,41200,42243,노바렉스
2022.03.23,37850,1950,35900,37900,35900,68670,노바텍
2022.03.22,35900,50,35800,36000,35550,26567,노바텍
2022.03.21,35850,-450,36450,36700,35800,27427,노바텍
2022.03.18,36300,150,36150,36400,35700,26332,노바텍
2022.03.17,36150,1950,34800,36250,34800,62456,노바텍
2022.03.16,34200,250,34450,34600,33800,47411,노바텍
2022.03.15,33950,-1150,34500,35000,32500,59298,노바텍
2022.03.14,35100,-1250,36350,36350,35000,52708,노바텍
2022.03.11,36350,150,36400,36750,36150,15440,노바텍
2022.03.10,36200,0,36450,36700,36000,36673,노바텍
2022.03.23,19900,100,19800,19950,19650,14192,뉴트리
2022.03.22,19800,150,19650,19850,19600,7314,뉴트리
2022.03.21,19650,300,19350,19800,19300,13651,뉴트리
2022.03.18,19350,200,19150,19350,19100,6192,뉴트리
2022.03.17,19150,350,19000,19250,18850,12507,뉴트리
2022.03.16,18800,0,18850,18950,18700,14124,뉴트리
2022.03.15,18800,200,18600,19000,18600,11668,뉴트리
2022.03.14,18600,-700,19300,19300,18550,31784,뉴트리
