,0,1,2,3
550,END,52425,250452386420883388709364394098688,8055880324707652081028146371430973440
551,SELL,52430,250452386420883388709364394098688,13131218620046916070031975182594211840
552,BUY,52435,404040177034851945866995714490368,0
553,SELL,53065,404040177034851945866995714490368,13385763931578872795928182482723143680
554,BUY,53065,399243318247855710454910858297344,0
555,END,53065,399243318247855710454910858297344,13385763931578872795928182482723143680
556,SELL,53070,399243318247855710454910858297344,21187842899413702553842119249840046080
557,BUY,53080,651311428304471337231790723039232,0
558,END,53080,651311428304471337231790723039232,21187842899413702553842119249840046080
559,SELL,53090,651311428304471337231790723039232,34578123728684383293635769486152826880
560,BUY,53085,1050380587996892438324826806943744,0
561,END,53085,1050380587996892438324826806943744,34578123728684383293635769486152826880
562,SELL,53095,1050380587996892438324826806943744,55769957319695004012856679314678087680
563,BUY,53105,1701112461020608647543978803068928,0
564,END,53105,1701112461020608647543978803068928,55769957319695004012856679314678087680
565,SELL,53110,1701112461020608647543978803068928,90346082804804525271060714230990766080
566,BUY,53115,2750777267479891139409751939481600,0
567,END,53115,2750777267479891139409751939481600,90346082804804525271060714230990766080
568,SELL,53120,2750777267479891139409751939481600,146121288448531817325446023025262592000
569,BUY,53130,4450472753002050451516849762861056,0
570,END,53130,4450472753002050451516849762861056,146121288448531817325446023025262592000
571,SELL,53140,4450472753002050451516849762861056,236498122094528960993605396398436515840
572,BUY,53135,7200054687410007811869884962308096,0
573,END,53135,7200054687410007811869884962308096,236498122094528960993605396398436515840
574,SELL,53140,7200054687410007811869884962308096,382610906088967815122765686897052221440
575,BUY,53135,11650946229604962869548997985435648,0
576,END,53135,11650946229604962869548997985435648,382610906088967815122765686897052221440
577,SELL,53140,11650946229604962869548997985435648,619131282641207726887833752946050334720
578,BUY,53140,18849904666899277069150368171032576,0
579,END,53140,18849904666899277069150368171032576,619131282641207726887833752946050334720
580,SELL,53145,18849904666899277069150368171032576,1001778183522362079839996316449526251520
581,BUY,53155,30492243752050328354759573726298112,0
582,END,53155,30492243752050328354759573726298112,1001778183522362079839996316449526251520
583,SELL,53160,30492243752050328354759573726298112,1620967677858995455339018939290007633920
584,BUY,53150,49343243653106255184763464821243904,0
585,END,53150,49343243653106255184763464821243904,1620967677858995455339018939290007633920
586,SELL,53160,49343243653106255184763464821243904,2623086832599128525622025789897325936640
587,BUY,53160,79826205380391133673019905308360704,0
588,END,53160,79826205380391133673019905308360704,2623086832599128525622025789897325936640
589,SELL,53165,79826205380391133673019905308360704,4243960209048494621726103265718996828160
590,BUY,53175,129133011953375103660924028552478720,0
591,END,53175,129133011953375103660924028552478720,4243960209048494621726103265718996828160
592,SELL,53180,129133011953375103660924028552478720,6867293575680488012687939838420818329600
593,BUY,53170,208963854046816171027726496188858368,0
594,END,53170,208963854046816171027726496188858368,6867293575680488012687939838420818329600
595,SELL,53175,208963854046816171027726496188858368,11111652938939449894399356434842543718400
596,BUY,53175,338089359574042355668756557652295680,0
597,END,53175,338089359574042355668756557652295680,11111652938939449894399356434842543718400
598,SELL,53180,338089359574042355668756557652295680,17979592142147572474464473735949084262400
599,BUY,53175,547053213620858563589971201260257280,0
600,END,53175,547053213620858563589971201260257280,17979592142147572474464473735949084262400
601,SELL,53185,547053213620858563589971201260257280,29095025166425362704532618339026783436800
602,BUY,53175,885174363449679790602241938246598656,0
603,END,53175,885174363449679790602241938246598656,29095025166425362704532618339026783436800
604,SELL,53180,885174363449679790602241938246598656,47073572648253971264227226275954116526080
605,BUY,53175,1432330454966846914921771274726277120,0
606,END,53175,1432330454966846914921771274726277120,47073572648253971264227226275954116526080
607,SELL,53180,1432330454966846914921771274726277120,76171333595136918935539796389943417241600
608,BUY,53175,2317588050608670506543498741476753408,0
609,SELL,53820,2317588050608670506543498741476753408,77666177887779511412260353078195923189760
610,BUY,53825,2289600456871640823537594494913347584,0
611,END,53825,2289600456871640823537594494913347584,77666177887779511412260353078195923189760
612,SELL,53835,2289600456871640823537594494913347584,123260640595684783735146399633660067184640
613,BUY,53830,3732192503787768459517217541969674240,0
614,END,53830,3732192503787768459517217541969674240,123260640595684783735146399633660067184640
615,SELL,53840,3732192503787768459517217541969674240,200941244403933453860406992459647261081600
616,BUY,53835,6021446328124460968666717129044656128,0
617,END,53835,6021446328124460968666717129044656128,200941244403933453860406992459647261081600
