jongmok,date,time,price,gap
A005930,20210402,1053,84800,1900
A005930,20210402,1052,84800,1900
A005930,20210402,1051,84900,2000
A122630,20210402,1050,27515,645
A122630,20210402,1049,27535,665
A122630,20210402,1048,27545,675
A122630,20210402,1047,27555,685
A122630,20210402,1046,27560,690
A122630,20210402,1045,27535,665
A122630,20210402,1044,27535,665
A122630,20210402,1043,27565,695
A122630,20210402,1042,27580,710
A122630,20210402,1041,27600,730
A005930,20210402,1050,84800,1900
A005930,20210402,1049,84800,1900
A005930,20210402,1048,84900,2000
A005930,20210402,1047,84900,2000
A005930,20210402,1046,84900,2000
A005930,20210402,1045,84900,2000
A005930,20210402,1044,84900,2000
A005930,20210402,1043,84900,2000
A005930,20210402,1042,84900,2000
A005930,20210402,1041,84900,2000
A122630,20210402,1040,27610,740
A122630,20210402,1039,27610,740
A122630,20210402,1038,27610,740
A122630,20210402,1037,27610,740
A122630,20210402,1036,27590,720
A122630,20210402,1035,27575,705
A122630,20210402,1034,27585,715
A122630,20210402,1033,27560,690
A122630,20210402,1032,27565,695
A122630,20210402,1031,27565,695
A005930,20210402,1040,84800,1900
A005930,20210402,1039,84800,1900
A005930,20210402,1038,84900,2000
A005930,20210402,1037,84800,1900
A005930,20210402,1036,84900,2000
A005930,20210402,1035,84800,1900
A005930,20210402,1034,84900,2000
A005930,20210402,1033,84800,1900
A005930,20210402,1032,84900,2000
A005930,20210402,1031,84900,2000
A122630,20210402,1030,27570,700
A122630,20210402,1029,27585,715
A122630,20210402,1028,27565,695
A122630,20210402,1027,27540,670
A122630,20210402,1026,27555,685
A122630,20210402,1025,27560,690
A122630,20210402,1024,27560,690
A122630,20210402,1023,27570,700
A122630,20210402,1022,27575,705
A122630,20210402,1021,27555,685
A005930,20210402,1030,84800,1900
A005930,20210402,1029,84900,2000
A005930,20210402,1028,84800,1900
A005930,20210402,1027,84900,2000
A005930,20210402,1026,84800,1900
A005930,20210402,1025,84800,1900
A005930,20210402,1024,84900,2000
A005930,20210402,1023,84900,2000
A005930,20210402,1022,84800,1900
A005930,20210402,1021,84900,2000
A122630,20210402,1020,27565,695
A122630,20210402,1019,27535,665
A122630,20210402,1018,27525,655
A122630,20210402,1017,27520,650
A122630,20210402,1016,27530,660
A122630,20210402,1015,27575,705
A122630,20210402,1014,27615,745
A122630,20210402,1013,27615,745
A122630,20210402,1012,27585,715
A122630,20210402,1011,27580,710
A005930,20210402,1020,84900,2000
A005930,20210402,1019,84900,2000
A005930,20210402,1018,84900,2000
A005930,20210402,1017,84800,1900
A005930,20210402,1016,84800,1900
A005930,20210402,1015,84900,2000
A005930,20210402,1014,84900,2000
A005930,20210402,1013,84900,2000
A005930,20210402,1012,84900,2000
A005930,20210402,1011,84900,2000
A122630,20210402,1010,27600,730
A122630,20210402,1009,27585,715
A122630,20210402,1008,27585,715
A122630,20210402,1007,27585,715
A122630,20210402,1006,27550,680
A122630,20210402,1005,27520,650
A122630,20210402,1004,27540,670
A122630,20210402,1003,27550,680
A122630,20210402,1002,27550,680
A122630,20210402,1001,27525,655
A005930,20210402,1010,84900,2000
A005930,20210402,1009,84900,2000
A005930,20210402,1008,84900,2000
A005930,20210402,1007,84800,1900
A005930,20210402,1006,84700,1800
A005930,20210402,1005,84700,1800
A005930,20210402,1004,84800,1900
A005930,20210402,1003,84800,1900
A005930,20210402,1002,84800,1900
A005930,20210402,1001,84700,1800
A122630,20210402,1000,27520,650
A122630,20210402,0959,27510,640
A122630,20210402,0958,27515,645
A122630,20210402,0957,27520,650
A122630,20210402,0956,27525,655
A122630,20210402,0955,27540,670
A122630,20210402,0954,27515,645
A122630,20210402,0953,27530,660
A122630,20210402,0952,27560,690
A122630,20210402,0951,27585,715
A005930,20210402,1000,84800,1900
A005930,20210402,0959,84700,1800
A005930,20210402,0958,84700,1800
A005930,20210402,0957,84700,1800
A005930,20210402,0956,84700,1800
A005930,20210402,0955,84700,1800
