날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.18,11750,600,11150,12200,11050,1687279,나무가
2022.03.17,11150,550,11000,11200,10850,277115,나무가
2022.03.16,10600,400,10350,10700,10350,141504,나무가
2022.03.15,10200,200,10350,10500,10200,119612,나무가
2022.03.14,10400,400,10750,10800,10300,177942,나무가
2022.03.11,10800,200,10600,11150,10550,184581,나무가
2022.03.10,10600,200,10850,10850,10550,123381,나무가
2022.03.08,10400,0,10100,10500,10100,137684,나무가
2022.03.22,9670,50,9660,9680,9620,6179,나이스디앤비
2022.03.21,9620,10,9620,9630,9520,6355,나이스디앤비
2022.03.18,9610,40,9570,9610,9550,2592,나이스디앤비
2022.03.17,9570,50,9720,9720,9460,6904,나이스디앤비
2022.03.16,9620,60,9720,9720,9570,2604,나이스디앤비
2022.03.15,9680,10,9670,9710,9640,4497,나이스디앤비
2022.03.14,9670,40,9630,9690,9610,5848,나이스디앤비
2022.03.11,9630,10,9620,9640,9570,1690,나이스디앤비
2022.03.10,9620,70,9650,9650,9570,2340,나이스디앤비
2022.03.08,9550,10,9520,9600,9470,2466,나이스디앤비
2022.03.22,53500,2300,51700,55300,51300,260646,네오위즈홀딩스
2022.03.21,51200,900,52600,52600,50300,91717,네오위즈홀딩스
2022.03.18,52100,200,53000,53100,51200,85607,네오위즈홀딩스
2022.03.17,52300,1900,51700,53500,51400,215267,네오위즈홀딩스
2022.03.16,50400,1050,50200,51200,49750,132546,네오위즈홀딩스
2022.03.15,49350,650,50600,51500,48950,142476,네오위즈홀딩스
2022.03.14,50000,5700,54300,54300,49850,345240,네오위즈홀딩스
2022.03.11,55700,3500,52500,57500,51500,588623,네오위즈홀딩스
2022.03.10,52200,1200,53300,54200,52000,184420,네오위즈홀딩스
2022.03.08,51000,100,49850,52500,49100,125871,네오위즈홀딩스
2022.03.22,22650,350,23050,23100,22400,906318,넥슨지티
2022.03.21,23000,300,22850,23450,22550,1671091,넥슨지티
2022.03.18,22700,700,22650,23000,22050,1916444,넥슨지티
2022.03.17,22000,400,21950,22500,21650,1433268,넥슨지티
2022.03.16,21600,1400,23500,23700,21200,2761706,넥슨지티
2022.03.15,23000,50,23050,24100,22650,3507854,넥슨지티
2022.03.14,22950,100,23250,23500,22500,2534075,넥슨지티
2022.03.11,22850,50,22700,23150,22350,2086278,넥슨지티
2022.03.10,22900,1450,22350,23000,21400,3275859,넥슨지티
2022.03.08,21450,650,21750,23100,21150,4288950,넥슨지티
2022.03.22,41250,250,41000,41550,40800,11098,노바렉스
2022.03.21,41000,850,43950,43950,40850,71026,노바렉스
2022.03.18,41850,100,41750,42000,41350,10514,노바렉스
2022.03.17,41750,700,41450,42050,40500,27449,노바렉스
2022.03.16,41050,400,41250,41750,40300,21633,노바렉스
2022.03.15,41450,650,42100,42200,41000,19010,노바렉스
2022.03.14,42100,600,42700,42700,41750,16812,노바렉스
2022.03.11,42700,300,42400,43000,41650,28238,노바렉스
2022.03.10,42400,200,42300,42550,41200,42243,노바렉스
2022.03.08,42200,700,40750,43350,40500,162313,노바렉스
2022.03.22,35900,50,35800,36000,35550,26441,노바텍
2022.03.21,35850,450,36450,36700,35800,27427,노바텍
2022.03.18,36300,150,36150,36400,35700,26332,노바텍
2022.03.17,36150,1950,34800,36250,34800,62456,노바텍
2022.03.16,34200,250,34450,34600,33800,47411,노바텍
2022.03.15,33950,1150,34500,35000,32500,59298,노바텍
2022.03.14,35100,1250,36350,36350,35000,52708,노바텍
2022.03.11,36350,150,36400,36750,36150,15440,노바텍
2022.03.10,36200,550,36450,36700,36000,36673,노바텍
2022.03.08,35650,150,35000,35950,35000,49535,노바텍
2022.03.22,19800,150,19650,19850,19600,7307,뉴트리
2022.03.21,19650,300,19350,19800,19300,13651,뉴트리
2022.03.18,19350,200,19150,19350,19100,6192,뉴트리
2022.03.17,19150,350,19000,19250,18850,12507,뉴트리
2022.03.16,18800,0,18850,18950,18700,14124,뉴트리
2022.03.15,18800,200,18600,19000,18600,11668,뉴트리
2022.03.14,18600,700,19300,19300,18550,31784,뉴트리
2022.03.11,19300,150,19300,19450,19100,7680,뉴트리
2022.03.10,19150,50,19250,19400,19100,16092,뉴트리
2022.03.08,19100,350,19350,19400,18800,23564,뉴트리
2022.03.22,23100,350,22950,23500,22750,24952,다나와
2022.03.21,22750,750,23550,23750,22750,36099,다나와
2022.03.18,23500,450,22850,23650,22550,64799,다나와
2022.03.17,23050,750,22250,24250,22250,187944,다나와
2022.03.16,22300,650,21650,22400,21650,22016,다나와
2022.03.15,21650,0,21550,21650,21250,24627,다나와
2022.03.14,21650,650,22350,22450,21500,44699,다나와
2022.03.11,22300,300,22550,22750,22300,26023,다나와
2022.03.10,22600,100,22900,23450,22450,44160,다나와
2022.03.08,22500,50,22200,22600,22000,30321,다나와
2022.03.22,4780,165,4935,4980,4735,1675391,대양금속
2022.03.21,4945,20,4870,5060,4840,1941035,대양금속
2022.03.18,4925,135,5650,5650,4885,12297352,대양금속
2022.03.17,5060,265,4860,5060,4770,4453162,대양금속
2022.03.16,4795,460,4860,4900,4550,6424573,대양금속
2022.03.15,4335,150,4220,4360,4160,590984,대양금속
